from,to,value
Fauna,Ayame,2.44
Flare,Ayame,9.93
Fubuki,Ayame,10.79
Gura,Ayame,2.24
Haato,Ayame,9.36
Ina,Ayame,2.5
Iofi,Ayame,3.93
IRyS,Ayame,2.96
Izuru,Ayame,3.97
Kanata,Ayame,9.45
Kiara,Ayame,2.65
Korone,Ayame,9.45
Kronii,Ayame,2.06
Lamy,Ayame,12.04
Luna,Ayame,8.71
Marine,Ayame,9.88
Matsuri,Ayame,13.08
Mel,Ayame,13.53
Miko,Ayame,7.29
Mio,Ayame,16.67
Miyabi,Ayame,3.71
Moona,Ayame,3.76
Mumei,Ayame,2.5
Nene,Ayame,10.3
Noel,Ayame,10.26
Oga,Ayame,4.48
Okayu,Ayame,10.27
Ollie,Ayame,2.58
Pekora,Ayame,5.23
Polka,Ayame,10.97
Reine,Ayame,3.11
Rikka,Ayame,3.73
Risu,Ayame,2.88
Roberu,Ayame,4.41
Roboco,Ayame,12.77
Rushia,Ayame,8.94
Sana,Ayame,2.24
Shien,Ayame,4.3
Shion,Ayame,16.89
Sora,Ayame,13.75
Subaru,Ayame,8.58
Suisei,Ayame,10.45
Temma,Ayame,4.28
Towa,Ayame,10.53
Watame,Ayame,10.18
Aki,AZki,7.85
Amelia,AZki,1.41
Anya,AZki,4.28
Aqua,AZki,3.83
Aruran,AZki,2.95
Astel,AZki,2.28
Ayame,AZki,3.37
Baelz,AZki,1.78
Botan,AZki,3.71
Calli,AZki,1.16
Choco,AZki,9.74
Fauna,AZki,1.52
Flare,AZki,4.2
Fubuki,AZki,2.97
Gura,AZki,1.08
Haato,AZki,4.63
Ina,AZki,1.48
Iofi,AZki,3.18
IRyS,AZki,2.34
Izuru,AZki,2.28
Kanata,AZki,3.23
Kiara,AZki,1.96
Korone,AZki,2.3
Kronii,AZki,1.29
Lamy,AZki,3.5
Luna,AZki,3.5
Marine,AZki,2.85
Matsuri,AZki,5.06
Mel,AZki,12.2
Miko,AZki,2.27
Mio,AZki,4.75
Miyabi,AZki,1.63
Moona,AZki,2.56
Mumei,AZki,1.42
Nene,AZki,3.68
Noel,AZki,3.08
Oga,AZki,2.84
Okayu,AZki,2.75
Ollie,AZki,1.82
Pekora,AZki,1.6
Polka,AZki,5.13
Reine,AZki,2.85
Rikka,AZki,3.09
Risu,AZki,2.28
Roberu,AZki,2.03
Roboco,AZki,6.27
Rushia,AZki,2.14
Sana,AZki,2.15
Shien,AZki,1.57
Shion,AZki,3.8
Sora,AZki,12.53
Subaru,AZki,2.53
Suisei,AZki,3.83
Temma,AZki,3.14
Towa,AZki,4.72
Watame,AZki,4.19
Aki,Baelz,22.32
Amelia,Baelz,42.48
Anya,Baelz,29.57
Aqua,Baelz,12.46
Aruran,Baelz,13.15
Astel,Baelz,12.15
Ayame,Baelz,10.77
AZki,Baelz,26.18
Botan,Baelz,17.69
Calli,Baelz,40.01
Choco,Baelz,20.62
Fauna,Baelz,48.22
Flare,Baelz,14.58
Fubuki,Baelz,14.16
Gura,Baelz,32.97
Haato,Baelz,25.43
Ina,Baelz,40.25
Iofi,Baelz,17.98
IRyS,Baelz,47.29
Izuru,Baelz,7.02
Kanata,Baelz,12.28
Kiara,Baelz,39.48
Korone,Baelz,14.13
Kronii,Baelz,43.67
Lamy,Baelz,13.42
Luna,Baelz,15.35
Marine,Baelz,12.8
Matsuri,Baelz,15.85
Mel,Baelz,22.55
Miko,Baelz,11.38
Mio,Baelz,13.25
Miyabi,Baelz,7.15
Moona,Baelz,19.23
Mumei,Baelz,46.08
Nene,Baelz,17.13
Noel,Baelz,10.55
Oga,Baelz,10.51
Okayu,Baelz,10.23
Ollie,Baelz,29.95
Pekora,Baelz,12.16
Polka,Baelz,18.08
Reine,Baelz,33.85
Rikka,Baelz,9.73
Risu,Baelz,20.18
Roberu,Baelz,9.63
Roboco,Baelz,19.82
Rushia,Baelz,10
Sana,Baelz,52.73
Shien,Baelz,8.95
Shion,Baelz,14.18
Sora,Baelz,19.77
Subaru,Baelz,9.76
Suisei,Baelz,12.48
Temma,Baelz,9.97
Towa,Baelz,20.15
Watame,Baelz,13.45
Aki,Botan,28.71
Amelia,Botan,6.23
Anya,Botan,21.26
Aqua,Botan,19.67
Aruran,Botan,12.97
