from,to,value
Chloe,Lamy,3.18
Choco,Lamy,3.22
Flare,Lamy,2.47
Fubuki,Lamy,2.12
Haato,Lamy,3.33
Iroha,Lamy,2.62
Kanata,Lamy,5.75
Korone,Lamy,2.24
Koyori,Lamy,2.39
Laplus,Lamy,2.16
Lui,Lamy,2.35
Luna,Lamy,2.32
Marine,Lamy,3.91
Matsuri,Lamy,2.81
Mel,Lamy,5.03
Miko,Lamy,1.77
Mio,Lamy,3.13
Nene,Lamy,4.74
Noel,Lamy,3.69
Okayu,Lamy,2.4
Pekora,Lamy,1.78
Polka,Lamy,3.53
Roboco,Lamy,3.18
Shion,Lamy,4.24
Sora,Lamy,2.79
Subaru,Lamy,1.7
Suisei,Lamy,2.89
Towa,Lamy,3.13
Watame,Lamy,2.14
Aki,Laplus,9.74
Aqua,Laplus,10.62
AZki,Laplus,12.79
Botan,Laplus,8.77
Chloe,Laplus,13.27
Choco,Laplus,12.75
Flare,Laplus,6.98
Fubuki,Laplus,9.47
Haato,Laplus,11.75
Iroha,Laplus,11.23
Kanata,Laplus,11.5
Korone,Laplus,6.96
Koyori,Laplus,9.35
Lamy,Laplus,7.94
Lui,Laplus,10.72
Luna,Laplus,7.78
Marine,Laplus,9.43
Matsuri,Laplus,13.06
Mel,Laplus,13.4
Miko,Laplus,7.97
Mio,Laplus,8.8
Nene,Laplus,11.96
Noel,Laplus,7.71
Okayu,Laplus,7.83
Pekora,Laplus,8.76
Polka,Laplus,9.92
Roboco,Laplus,9.87
Shion,Laplus,12.4
Sora,Laplus,7.01
Subaru,Laplus,6.25
Suisei,Laplus,9.44
Towa,Laplus,10.32
Watame,Laplus,5.84
Aki,Lui,24.4
Aqua,Lui,12.51
AZki,Lui,20.72
Botan,Lui,23.11
Chloe,Lui,24.97
Choco,Lui,29.85
Flare,Lui,21.98
Fubuki,Lui,16.57
Haato,Lui,18.47
Iroha,Lui,25.79
Kanata,Lui,15.34
Korone,Lui,15.48
Koyori,Lui,21.5
Lamy,Lui,18.92
Laplus,Lui,23.43
Luna,Lui,22.13
Marine,Lui,19.23
Matsuri,Lui,22.04
Mel,Lui,24.87
Miko,Lui,14.45
Mio,Lui,22.47
Nene,Lui,20.36
Noel,Lui,22.81
Okayu,Lui,17.43
Pekora,Lui,14.27
Polka,Lui,23.11
Roboco,Lui,23.79
Shion,Lui,19.8
Sora,Lui,18.88
Subaru,Lui,13.83
Suisei,Lui,16.37
Towa,Lui,19.69
