from,to,value
Choco,Luna,15.4
Flare,Luna,10.78
Fubuki,Luna,5.63
Haato,Luna,18.55
Hajime,Luna,10.98
Iroha,Luna,7.04
Kanade,Luna,8.41
Kanata,Luna,9.96
Korone,Luna,6.98
Koyori,Luna,8.69
Lamy,Luna,7.47
Laplus,Luna,6.15
Lui,Luna,10.57
Marine,Luna,6.82
Matsuri,Luna,12.72
Miko,Luna,6.5
Mio,Luna,8.83
Nene,Luna,14.53
Noel,Luna,9.18
Okayu,Luna,5.79
Pekora,Luna,6.93
Polka,Luna,7.52
Raden,Luna,5.03
Ririka,Luna,9.89
Roboco,Luna,19.21
Shion,Luna,8.72
Sora,Luna,11.57
Subaru,Luna,7.58
Towa,Luna,7.1
Watame,Luna,10.01
Aki,Marine,7.91
Ao,Marine,10.82
Aqua,Marine,9.46
Ayame,Marine,5.86
AZki,Marine,8.68
Botan,Marine,8.55
Chloe,Marine,11.96
Choco,Marine,14.17
Flare,Marine,16.11
Fubuki,Marine,7.8
Haato,Marine,11.6
Hajime,Marine,10.05
Iroha,Marine,9.08
Kanade,Marine,7.33
Kanata,Marine,11.99
Korone,Marine,7.68
Koyori,Marine,10.99
Lamy,Marine,12.52
Laplus,Marine,8.56
Lui,Marine,12.89
Luna,Marine,9.6
Matsuri,Marine,12.2
Miko,Marine,8.42
Mio,Marine,9.4
Nene,Marine,11.74
Noel,Marine,19.44
Okayu,Marine,7.39
Pekora,Marine,12.45
Polka,Marine,8.37
Raden,Marine,11.22
Ririka,Marine,11.83
Roboco,Marine,13.37
Shion,Marine,9.74
Sora,Marine,8.6
Subaru,Marine,10.45
Towa,Marine,7.14
Watame,Marine,7.36
Aki,Matsuri,4.16
Ao,Matsuri,3.23
Aqua,Matsuri,2.41
Ayame,Matsuri,2.54
AZki,Matsuri,2.78
Botan,Matsuri,2.77
Chloe,Matsuri,3.26
Choco,Matsuri,6.57
Flare,Matsuri,3.96
Fubuki,Matsuri,3.06
Haato,Matsuri,6.75
Hajime,Matsuri,2.29
Iroha,Matsuri,3.65
Kanade,Matsuri,2.93
Kanata,Matsuri,3.08
Korone,Matsuri,1.83
Koyori,Matsuri,2.99
