from,to,value
Roboco,Lamy,36.07
Shion,Lamy,37.21
Sora,Lamy,30.67
Subaru,Lamy,24.63
Suisei,Lamy,28.59
Towa,Lamy,23.56
Watame,Lamy,27.06
Aki,Laplus,13.83
Aqua,Laplus,11.1
Ayame,Laplus,12.4
AZki,Laplus,11.07
Botan,Laplus,9.18
Chloe,Laplus,11.83
Choco,Laplus,15.63
Flare,Laplus,11.83
Fubuki,Laplus,9.9
Haato,Laplus,10.9
Iroha,Laplus,13.45
Kanata,Laplus,10.26
Korone,Laplus,7.41
Koyori,Laplus,9.67
Lamy,Laplus,10.87
Lui,Laplus,12.27
Luna,Laplus,11.18
Marine,Laplus,9.93
Matsuri,Laplus,10.86
Mel,Laplus,14.64
Miko,Laplus,8.03
Mio,Laplus,12.36
Nene,Laplus,11.19
Noel,Laplus,11.86
Okayu,Laplus,10.66
Pekora,Laplus,7.57
Polka,Laplus,12.47
Roboco,Laplus,13.45
Shion,Laplus,15.94
Sora,Laplus,10.15
Subaru,Laplus,8.22
Suisei,Laplus,12.78
Towa,Laplus,9.78
Watame,Laplus,8.42
Aki,Lui,37.29
Aqua,Lui,21.15
Ayame,Lui,18.21
AZki,Lui,28.16
Botan,Lui,27.27
Chloe,Lui,24.39
Choco,Lui,35.68
Flare,Lui,32.76
Fubuki,Lui,22.6
Haato,Lui,25.44
Iroha,Lui,28.72
Kanata,Lui,24.77
Korone,Lui,20.4
Koyori,Lui,25.57
Lamy,Lui,27.02
Laplus,Lui,28.74
Luna,Lui,28.65
Marine,Lui,24.28
Matsuri,Lui,26.79
Mel,Lui,34.57
Miko,Lui,20.3
Mio,Lui,27.5
Nene,Lui,28.35
Noel,Lui,28.79
Okayu,Lui,21.91
Pekora,Lui,18.96
Polka,Lui,30.12
Roboco,Lui,37
Shion,Lui,28.29
Sora,Lui,26.66
Subaru,Lui,22.57
Suisei,Lui,24.1
Towa,Lui,22.05
Watame,Lui,23.68
Aki,Luna,29.82
Aqua,Luna,17.46
Ayame,Luna,12.7
AZki,Luna,21.31
Botan,Luna,17.25
Chloe,Luna,16.04
Choco,Luna,26.73
Flare,Luna,21.03
Fubuki,Luna,16.32
Haato,Luna,23.21
Iroha,Luna,19.27
Kanata,Luna,20.7
Korone,Luna,16.91
Koyori,Luna,17.25
Lamy,Luna,19.06
Laplus,Luna,17.69
Lui,Luna,19.35
Marine,Luna,15.86
Matsuri,Luna,18.88
Mel,Luna,27.52
Miko,Luna,16.11
Mio,Luna,19.74
Nene,Luna,22.14
Noel,Luna,19.6
Okayu,Luna,16.16
Pekora,Luna,13.35
Polka,Luna,21.41
Roboco,Luna,26.72
Shion,Luna,23.14
Sora,Luna,21.49
Subaru,Luna,16.09
Suisei,Luna,16.94
Towa,Luna,14.73
Watame,Luna,18.26
Aki,Marine,45.29
Aqua,Marine,35.71
Ayame,Marine,27.21
AZki,Marine,36.01
Botan,Marine,31.57
Chloe,Marine,34.39
Choco,Marine,48.77
Flare,Marine,47.98
Fubuki,Marine,31.59
Haato,Marine,33.11
Iroha,Marine,36.42
Kanata,Marine,36.1
Korone,Marine,29.67
Koyori,Marine,33.85
Lamy,Marine,39.07
Laplus,Marine,39.3
Lui,Marine,41.04
Luna,Marine,39.68
Matsuri,Marine,33.9
Mel,Marine,47.96
Miko,Marine,31.49
Mio,Marine,39.21
Nene,Marine,37.65
Noel,Marine,46.79
Okayu,Marine,32.17
Pekora,Marine,32.02
Polka,Marine,39.32
Roboco,Marine,39.95
Shion,Marine,45.35
Sora,Marine,33.05
Subaru,Marine,32.91
Suisei,Marine,36.35
Towa,Marine,28.61
Watame,Marine,30.85
Aki,Matsuri,28.75
Aqua,Matsuri,20.54
Ayame,Matsuri,17.79
AZki,Matsuri,20.9
Botan,Matsuri,17.68
Chloe,Matsuri,20.42
Choco,Matsuri,27.04
Flare,Matsuri,23.91
Fubuki,Matsuri,20.56
Haato,Matsuri,24.55
Iroha,Matsuri,22.58
Kanata,Matsuri,19.57
Korone,Matsuri,15.51
Koyori,Matsuri,18.27
Lamy,Matsuri,20.67
Laplus,Matsuri,20.95
Lui,Matsuri,22.06
Luna,Matsuri,23.01
Marine,Matsuri,16.51
Mel,Matsuri,28.08
Miko,Matsuri,16.2
Mio,Matsuri,20
Nene,Matsuri,25.17
Noel,Matsuri,21.94
Okayu,Matsuri,18.11
Pekora,Matsuri,14.53
Polka,Matsuri,22.93
Roboco,Matsuri,30.88
Shion,Matsuri,25.16
Sora,Matsuri,23.88
Subaru,Matsuri,15.26
Suisei,Matsuri,19.79
Towa,Matsuri,20.9
Watame,Matsuri,20.11
Aki,Mel,28.63
Aqua,Mel,15.17
Ayame,Mel,13.68
AZki,Mel,20.8
Botan,Mel,12.7
Chloe,Mel,14.44
Choco,Mel,26.87
Flare,Mel,19.56
Fubuki,Mel,13.66
Haato,Mel,19.86
Iroha,Mel,15.58
Kanata,Mel,14.57
Korone,Mel,10.91
Koyori,Mel,13.74
Lamy,Mel,16.23
Laplus,Mel,17.11
Lui,Mel,17.25
Luna,Mel,20.33
Marine,Mel,14.16
Matsuri,Mel,17.02
Miko,Mel,10.73
Mio,Mel,14.91
Nene,Mel,18.09
Noel,Mel,18.66
Okayu,Mel,13.78
Pekora,Mel,10.24
Polka,Mel,17.25
Roboco,Mel,26.26
Shion,Mel,20.27
Sora,Mel,18.12
Subaru,Mel,11.33
Suisei,Mel,14.69
Towa,Mel,13.14
Watame,Mel,14.32
Aki,Miko,48.05
Aqua,Miko,39.84
Ayame,Miko,29.74
AZki,Miko,39.63
Botan,Miko,35.7
Chloe,Miko,36.62
Choco,Miko,46.53
Flare,Miko,42.37
Fubuki,Miko,37.03
Haato,Miko,40.95
Iroha,Miko,42.01
Kanata,Miko,40.06
Korone,Miko,35.89
Koyori,Miko,39.18
Lamy,Miko,40.94
Laplus,Miko,38.23
Lui,Miko,41.27
Luna,Miko,48.48
Marine,Miko,37.88
Matsuri,Miko,39.99
Mel,Miko,43.71
Mio,Miko,45.92
Nene,Miko,45.99
Noel,Miko,40.71
Okayu,Miko,32.98
Pekora,Miko,36
Polka,Miko,45.33
Roboco,Miko,46.35
Shion,Miko,47.36
Sora,Miko,44.56
Subaru,Miko,36.93
Suisei,Miko,42.83
Towa,Miko,31.89
Watame,Miko,39.12
Aki,Mio,46.48
Aqua,Mio,31.06
Ayame,Mio,28.15
AZki,Mio,36.77
Botan,Mio,33.04
Chloe,Mio,30.22
Choco,Mio,47.43
Flare,Mio,39.16
Fubuki,Mio,33.07
Haato,Mio,30.26
Iroha,Mio,37.01
Kanata,Mio,32.88
Korone,Mio,29.04
Koyori,Mio,32.29
Lamy,Mio,35.81
Laplus,Mio,38.99
Lui,Mio,37.05
Luna,Mio,39.38
Marine,Mio,31.25
Matsuri,Mio,32.73
Mel,Mio,40.25
Miko,Mio,30.43
Nene,Mio,35.99
Noel,Mio,34.69
Okayu,Mio,34.9
Pekora,Mio,24.27
Polka,Mio,42.37
Roboco,Mio,42.5
Shion,Mio,40.93
Sora,Mio,36.93
Subaru,Mio,32.96
Suisei,Mio,37.61
Towa,Mio,28.55
Watame,Mio,30.24
Aki,Nene,34.05
Aqua,Nene,23.25
Ayame,Nene,18.83
AZki,Nene,26.42
Botan,Nene,24.55
Chloe,Nene,24.97
Choco,Nene,30.53
Flare,Nene,26.94
Fubuki,Nene,21.4
Haato,Nene,30.3
Iroha,Nene,27.87
Kanata,Nene,25.64
Korone,Nene,21.02
Koyori,Nene,23.84
Lamy,Nene,28.34
Laplus,Nene,24.9
Lui,Nene,26.93
Luna,Nene,31.14
Marine,Nene,21.16
Matsuri,Nene,29.05
Mel,Nene,34.44
Miko,Nene,21.49
Mio,Nene,25.37
Noel,Nene,25.25
Okayu,Nene,19.96
Pekora,Nene,19.52
Polka,Nene,27.78
Roboco,Nene,34.7
Shion,Nene,30.42
Sora,Nene,28.8
Subaru,Nene,20.05
Suisei,Nene,24.11
Towa,Nene,22.56
Watame,Nene,26.26
Aki,Noel,26.97
Aqua,Noel,17.21
