from,to,value
Aki,Mio,23.39
Ao,Mio,23.59
Aqua,Mio,25.63
Ayame,Mio,36.7
AZki,Mio,30.33
Botan,Mio,28.87
Chloe,Mio,30.07
Choco,Mio,43.5
Flare,Mio,37.84
Fubuki,Mio,28.91
Haato,Mio,29.3
Hajime,Mio,28.96
Iroha,Mio,27.11
Kanade,Mio,24.5
Kanata,Mio,27.98
Korone,Mio,32.38
Koyori,Mio,26.03
Lamy,Mio,32.9
Laplus,Mio,24.13
Lui,Mio,28.62
Luna,Mio,26.11
Marine,Mio,21.04
Matsuri,Mio,30.02
Mel,Mio,38.66
Miko,Mio,21.32
Nene,Mio,25.35
Noel,Mio,27.53
Okayu,Mio,29.7
Pekora,Mio,16
Polka,Mio,36.33
Raden,Mio,27.63
Ririka,Mio,23.59
Roboco,Mio,40.51
Shion,Mio,36.02
Sora,Mio,30.96
Subaru,Mio,23.09
Suisei,Mio,22.96
Towa,Mio,32.12
Watame,Mio,28.73
Aki,Nene,19.09
Ao,Nene,20.48
Aqua,Nene,20.55
Ayame,Nene,21.29
AZki,Nene,21.49
Botan,Nene,21.97
Chloe,Nene,26.95
Choco,Nene,31.73
Flare,Nene,27.02
Fubuki,Nene,17.88
Haato,Nene,27.73
Hajime,Nene,25.81
Iroha,Nene,21.28
Kanade,Nene,21.8
Kanata,Nene,24.13
Korone,Nene,21.76
Koyori,Nene,19.91
Lamy,Nene,30.03
Laplus,Nene,22.07
Lui,Nene,20.45
Luna,Nene,27.82
Marine,Nene,16.53
Matsuri,Nene,30.11
Mel,Nene,35.32
Miko,Nene,18.59
Mio,Nene,24.7
Noel,Nene,24.05
Okayu,Nene,19.2
Pekora,Nene,13.72
Polka,Nene,32.67
Raden,Nene,21.21
Ririka,Nene,21.88
Roboco,Nene,33.81
Shion,Nene,26.35
Sora,Nene,26.01
Subaru,Nene,16.38
Suisei,Nene,17.11
Towa,Nene,23.57
Watame,Nene,23.08
Aki,Noel,18.9
Ao,Noel,21.3
Aqua,Noel,22.67
Ayame,Noel,21.83
AZki,Noel,21.73
Botan,Noel,20.56
Chloe,Noel,28.26
Choco,Noel,33.83
Flare,Noel,33.48
Fubuki,Noel,19.19
Haato,Noel,24.5
Hajime,Noel,24.87
Iroha,Noel,22.32
Kanade,Noel,18.73
Kanata,Noel,25.77
Korone,Noel,22.34
Koyori,Noel,21.75
Lamy,Noel,30.23
Laplus,Noel,21.49
Lui,Noel,24.09
Luna,Noel,25.57
Marine,Noel,22.8
Matsuri,Noel,27.48
